"block","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU"
"2a6820eb-8d44-4bef-8ba9-ca5182064905","a859b0da-d521-4638-bca0-283e38ea4eac","0803dbe2-ed8d-4563-8629-c57cfa5928bb","879477d6-3dec-410d-9745-a0158ad7dfc5","28","66.375","24.09375","0","100"
"f669766d-53aa-4f79-90e9-67d224d764f9","40849b42-7d2b-438d-9aac-c8d35f7861c1","efb9cc05-b5c5-441b-a896-8bb265d6a3c7","991d2327-2d47-404a-83e3-929b89b338fb","40","66.375","23.7575","0","100"
"af743182-7a1b-4d64-be8b-7b60d314ee09","2896d9e7-847b-4d38-8d22-82264a9fefc8","f6fdabf7-3967-4713-98bd-0399b3bf91f0","b1544d15-63d3-4cf6-8cba-12d071ea1963","48","66.375","23.42125","0","99"
"21e41c9d-3f69-4a73-a849-a54b66dd51a7","bad61d6f-bb8c-4d35-a6db-397b83b56148","3d2096c4-4b25-460b-9ec2-484cfef3424e","9654d0b3-a219-49a0-8c17-86699381ea6b","42","66.375","23.095","0","99"
"a2467fa5-272d-4db0-bd41-24f89c282a51","63357d43-582f-4064-a23c-4f19504a653e","dab75af3-273d-4bdd-98a7-005441ad172a","c3177080-d317-4118-b1c9-994433c3dea8","28","66.375","22.815","0","99"
"fe9aab2e-c1f4-4fd6-bbf3-5ff95a5835b5","8da47a00-a80e-47ea-a9f9-deeedeb551ab","f54256c7-bd9c-4b66-b8a2-ea4c8140809c","599d0021-b8c8-4025-81e0-31324bc6786c","30","66.375","22.515","0","99"
"af6228de-a9b2-4a3a-8d45-5f80a002dd37","883c122b-4a6e-483f-b422-aca8477fa9c6","9a626083-d979-4194-83ba-824351441eb5","798cff96-2cfd-4aec-a4cb-881af0351594","42","66.375","22.18875","0","99"
"f61002c9-57cd-4571-b46a-11578f6c97b9","db37ca67-d6d8-427f-afdc-18bf1a94cac9","364fa08d-6530-4273-98a9-07fb9a6448ed","170e24a0-9d96-4373-b99a-86f1c14e2a4e","49","66.375","21.8625","0","99"
"6425b266-3421-447c-bb84-640520afc850","5729b4d0-0159-4842-b45c-2cbe7c8bcee1","dfd46af2-2000-4a8b-9658-6687edc7d87d","e588aa56-a3ae-48df-b53a-d153cde15473","44","66.375","21.53625","0","99"
"9aa597ac-6ab7-4e58-b8fd-a01cd2572345","c9f69e68-a0cc-4ad8-b634-0a5b7b3ea460","714ba4cb-319c-479f-9f52-c0c0fcdf1b9c","8cb90628-ac0c-4c5f-a251-f134a36d474c","34","66.375","21.21","0","99"
"d07dabd6-872f-43ea-a440-c609f2f590c8","0cc1e009-8a80-4654-8e26-7fc8aabca549","715eb5f5-bd1a-414b-9888-52f47caf1f37","daa7a528-4ef7-4fc6-b508-03d2fbfc9962","42","66.375","20.88375","0","99"
"2c28ebed-b805-4cea-a822-c58969a9c5f3","9a09a77c-71fa-4155-911f-a15abb2e23e4","aa28ca74-6947-4ed3-b9a3-825b99d4580d","b8af071f-3b68-44cf-9f88-5d6d7a79222e","50","66.375","20.5575","0","99"
"2c141c72-f5b8-49ac-954f-025f1860ad1b","1d6cd551-8053-4ae0-8262-72289db8c3bf","718f6e2c-acee-49f6-a2ba-6e4f8595ed51","35fe0eb0-5183-49a9-8fc6-40f7234da5fc","43","66.375","20.23125","0","99"
"a00c3efa-332c-49e8-bbc7-38fd641460f2","36298fe5-85db-4d6f-bcdc-9dad6b6ba815","e6df6d24-4c62-4212-a591-6bfe5e978054","b809953f-392a-427f-9761-3a011768bfd3","39","66.375","19.905","1","98"
"b859af14-966f-4261-beec-857922f370e0","fc26051e-a5cf-4ffb-b16f-89638e7e865d","cd221b74-01a9-4b58-ba5a-5dd0643ed96d","8f6edf30-fe22-42d4-b06c-150a7536cb1d","44","66.375","19.58875","1","98"
"db451306-5052-452f-bda2-005cae400b74","b365f23c-d718-4cb5-afff-e6ca3f1dca02","1d01f817-c73a-4373-ab49-e32ad8a4d401","8c03431d-3ee7-448c-b458-af50cd857af7","47","66.375","19.2725","5","98"
"ff2c9c7e-c3f4-46bf-880d-501445e9c6d5","e4106f57-5514-4936-9665-40d9632746e8","05e582e8-da6d-423e-acbf-819173c7a603","f24413ed-d36a-4ff1-b73a-948d3bd345f2","42","66.375","18.95625","7","98"
"876d675d-9030-40bd-bf56-9ed48c05aff9","a07eacee-9f00-4170-af66-22c358038868","5a8733d7-7e5e-4fb5-b514-4d31a256e083","1708a61c-53c0-4e25-882d-cbbb2dd36de1","31","66.375","18.64625","12","98"
"f9766fd9-fec4-4061-8e35-62e3b70a28b9","9a1fef6a-ce44-480e-9b70-bd73890a3ddf","b6690b61-c261-4c55-967a-a9f787615e6f","91baf05a-fec7-4bcc-a9f2-a66234173861","46","66.375","18.33","13","98"
"ebe2f32f-86c0-4f7b-8186-f516c8b484d4","601fa23f-5a6b-4389-a99c-168584e4556b","62aa294f-dac6-4f4f-b181-9c03071af242","4f3c6bc4-37f9-469f-ad59-22a3372b4608","37","66.375","18.01375","16","98"
"cd5cab8a-ebb9-433c-a2b7-35b0ffbc3ccf","065654b3-eb22-42d4-8f14-d56d1132943e","bad1ddf8-6036-4be0-aed7-9c14035bf2c1","eb5b7b1b-229d-42e7-90fa-e514d335df57","48","66.375","17.6975","16","98"
"efb3df0e-f2a3-4afb-a5bf-ba5cd5a49638","e53ead12-50ab-4f71-9c71-566da787be8c","dec4d607-d3f9-48f9-a645-bf8ac0f03fa5","66ded18d-29dc-4d53-b578-62ccb3aba76f","44","66.375","17.38125","17","97"
"212f4975-0e9e-4248-94e9-99512332ae26","67c09582-34c6-48a1-b926-3ca5d6689379","a3ba5bc5-a30f-43ca-9a1c-669632a49a0b","231d7ecc-d389-4e33-b163-01df9b09d9cf","48","66.375","17.075","17","97"
"14fd7f81-e408-458b-ba67-24c220335a87","1c7f6619-1e84-49b2-984b-11471e115cf6","5351bc69-dd36-4014-8d54-3dc70c389f0f","7f51fe16-8a5e-43f7-bb80-60daa9fd0dc2","42","66.375","16.76875","18","97"
"6579ff1c-d80d-4829-b2b5-4a6cd90e7c83","a7529884-f111-4e03-9a47-908f706f02a2","c2892cce-bdc3-411f-a800-a1ffea05e97b","13bf9808-6e5e-4e8b-9a24-9033e1ceffdb","44","66.375","16.4625","18","97"
"171b5555-3322-4e46-ae38-8dbd719c57ed","98022b1a-6ff6-4537-b87f-a27031f64acd","b6e02d1c-fe1f-4167-a959-4676383de046","452ba4dc-0f47-40ca-9a70-5d240bec4c0e","50","66.375","16.1725","19","96"
"96e6bc09-0b9b-4bd7-a05f-efd619ba1927","15c79245-6148-4432-979f-b1c6951cfd4b","a7a782eb-921a-455f-8c07-46866111edd4","2327fa22-9130-44cc-a020-a656af990e05","26","66.375","15.9125","21","96"
"14917fc7-99f1-463e-97c1-14a9d468cc6e","0b689e25-e883-4447-bb5b-81064cf5315a","529d0643-fa49-4a2c-a281-83c4d2043bfb","e24ab43d-db43-4db1-b35a-796ba44411ec","41","66.375","15.61625","23","96"
"7f150158-b880-4110-86a5-a8f5cbe5b1a2","02961e3b-da35-4542-badb-98289ed1146d","20805900-92f5-4981-b44f-80e6a86dff94","0dde1d2c-1fd3-4fae-b1f6-2cc4181d5a56","40","66.375","15.32","26","96"
"fec917d3-6424-4381-b324-3fe0e19e504e","5c4a69d5-1ce1-41e3-8852-b0617d6de6f1","ceceb88f-f3cd-4e76-b6b7-412e6f6237fa","6a7419a1-79eb-4cd9-8d11-6209eae924f1","34","66.375","15.02375","27","96"
"22f40f94-b781-4059-acf6-4e64dc1d3f70","f9b99f28-457f-40d5-b6eb-1bfb8a1b1a99","1139461d-b0e7-4eaf-8a9c-78d7abfc8631","bb7656ec-f3dc-43ab-bad1-2c40909444a5","49","66.375","14.82375","28","95"
"1a6fc5aa-85c5-4c77-9bdc-b9c5d1969258","d824632d-d180-4830-bab5-d6b5598a6e45","0803dbe2-ed8d-4563-8629-c57cfa5928bb","2ff1d8c4-1307-41dd-bae7-1216dd1ac27a","35","66.375","14.5375","28","95"
"5fc28484-2072-4b8b-ac3c-7ea604744dca","cf9a88a2-76a8-4e60-97c5-3436da9137f4","336cfbfa-a6de-481d-8ea0-548f5c8175e8","9e13b2f0-b535-468c-b2bb-32b951697749","39","66.375","14.2575","28","95"
"c313351e-08f3-4f34-aa96-51a841675f1e","8ed016ac-7d3d-4e7b-ad91-88725144b536","dab75af3-273d-4bdd-98a7-005441ad172a","782d448c-bf5c-4fc4-ab6a-77aa70ca2a50","49","66.375","14.0775","29","95"
